OBJ,RA,DEC,PETROR50_R,PETROR90_R,PETROMAG_U,PETROMAG_G,PETROMAG_R,PETROMAG_I,PETROMAG_Z,PETROMAGERR_U,PETROMAGERR_G,PETROMAGERR_R,PETROMAGERR_I,PETROMAGERR_Z,PSFMAG_R,FIBERMAG_R,DEVMAG_R,DEVMAGERR_R,EXPMAG_R,EXPMAGERR_R,FRACDEV_R,MU50_R,EXTINCTION_U,EXTINCTION_G,EXTINCTION_R,EXTINCTION_I,EXTINCTION_Z,CMODELMAG_R,CMODELMAGERR_R,REDSHIFT,REDSHIFTERR,PETROMAG_MU,PETROMAG_MG,PETROMAG_MR,PETROMAG_MI,PETROMAG_MZ,PETROMAGERR_MU,PETROMAGERR_MG,PETROMAGERR_MR,PETROMAGERR_MI,PETROMAGERR_MZ,PETROR50_R_KPC,color_new,Morphology,Uncertain,Elliptical,Spiral
139,189.44113159179688,-1.23812997341156,3.2682643,10.494125,18.95601,17.008,15.911538,15.464638,15.132562,0.1102281,0.016069226,0.014810417,0.015066991,0.016322844,17.425816,17.522982,15.846821,0.0032954942,16.288822,0.0034688609,1.0,20.478572845458984,0.12748036,0.09379884,0.06803074,0.051585652,0.03657487,15.846820831298828,0.0032954942435026,0.135323,0.000193112,-20.758518,-22.564339,-23.345436,-23.70865,-23.962097,0.11203275,0.01892671,0.017870326,0.018083537,0.019142516,7.8361273,1.096461999999999,1,0,1,0
349,190.01111828,-1.04944849,8.547393,21.609991,18.378862,16.876743,15.89107,15.904416,17.012302,0.18058653,0.027167333,0.008397308,0.021056984,0.19925645,20.032373,19.822908,15.529332,0.00890656,15.8950615,0.008105474,0.0,22.54568830845448,0.14275847,0.10504033,0.076184005,0.057768025,0.040958248,15.89506147162448,0.008105473538016,0.0842651,0.000154589,-19.438183,-20.899754,-21.566618,-21.895903,-22.13827,0.08295735,0.016296417,0.013468414,0.01412059,0.024162583,4.1962385,0.985673000000002,0,1,0,0
85,190.10536193847656,-1.117599368095398,3.3213518,8.684871,18.61388,16.862577,15.991517,15.559885,15.273504,0.07395091,0.010598627,0.00803742,0.009383025,0.013789158,17.75741,17.777502,15.765127,0.003705746,16.055998,0.0037071984,0.530978,20.59354019165039,0.17234814,0.12681213,0.09197473,0.06974165,0.0494477,15.89193058013916,0.0026692987885326,0.071609,0.000149752,-19.396872,-20.997313,-21.732662,-22.094454,-22.339308,0.07660927,0.014571581,0.012829659,0.013712811,0.017033542,4.533026,0.8710600000000017,0,1,0,0
156,190.4410400390625,-1.100061297416687,3.475829,8.108458,18.865322,17.3469,16.563692,16.196945,15.894968,0.09449774,0.013611136,0.009056223,0.012476553,0.026185235,18.470806,18.50998,16.195747,0.0050841672,16.521437,0.004913594,0.035058063,21.26443290710449,0.16342191,0.12024429,0.08721119,0.0661296,0.046886712,16.508201599121094,0.0046899165026843,0.070258,0.000130477,-19.03047,-20.429047,-21.097893,-21.395964,-21.660585,0.09659433,0.016889742,0.013491303,0.015989514,0.028029872,4.6617136,0.7832080000000019,0,1,0,0
177,190.49616026,-1.17888164,5.506304,11.828279,17.018417,15.8785095,15.374403,15.11895,14.973992,0.026128674,0.0052042953,0.004235028,0.005360566,0.015933216,18.34096,18.328577,14.907538,0.0033251387,15.348534,0.003105734,0.0,21.07415345817229,0.16480276,0.12126031,0.08794809,0.06668837,0.04728289,15.348533609807864,0.0031057339882747,0.0237635,7.93364e-05,-18.310846,-19.345272,-19.803207,-20.025026,-20.128553,0.03290455,0.011273185,0.01085981,0.011346175,0.018811377,2.6395414,0.5041065000000007,0,1,0,0
183,190.65011596679688,-1.2317709922790527,2.5418215,7.9927154,19.12759,17.248606,16.34265,15.920592,15.596333,0.09218973,0.013404375,0.011098768,0.0112928,0.016537359,17.809504,17.8135,16.18891,0.004412184,16.528673,0.0045417277,0.88684714,20.36382484436035,0.17770414,0.13075301,0.094832994,0.07190899,0.050984368,16.22243309020996,0.0040542050264775,0.072072,0.000156598,-18.907053,-20.642115,-21.400242,-21.755535,-22.036158,0.09433933,0.016723564,0.014939303,0.015084012,0.019325783,3.4896553,0.9059559999999998,1,0,1,0
56,190.73858642578125,-1.2294234037399292,18.787832,43.89772,15.635355,13.95014,13.356271,13.061022,13.100442,0.038872205,0.010748089,0.018633094,0.01436377,0.05889483,18.190516,18.054335,13.890286,0.0024406526,13.456943,0.0021509123,0.027487744,21.72110366821289,0.20396794,0.15007767,0.10884885,0.08253679,0.058519613,13.466809272766112,0.0021113723050802,0.0108192,0.000163821,-17.965158,-19.581411,-20.109282,-20.371918,-20.283367,0.043715544,0.014680648,0.02114692,0.01750194,0.059737783,4.165191,0.5938689999999998,0,1,0,0
108,190.68382643,-1.23252128,3.7855868,11.136473,20.164785,17.829885,16.645536,16.16371,15.87249,0.3647916,0.024665637,0.012177987,0.012425807,0.02927355,18.411085,18.43763,16.525717,0.005036473,17.010263,0.005247905,1.0,21.53165210304432,0.18637411,0.1371323,0.09945978,0.07541734,0.053471833,16.52571675947585,0.0050364727744806,0.0842651,0.000154589,-19.438183,-20.899754,-21.566618,-21.895903,-22.13827,0.08295735,0.016296417,0.013468414,0.01412059,0.024162583,4.1962385,1.184349000000001,1,0,1,0
178,190.7828521728516,-1.1381950378417969,4.2092705,12.535348,20.630703,17.916132,16.713829,16.211306,15.876758,0.60516256,0.031996895,0.023173193,0.019742284,0.03539824,18.648895,18.612316,16.551685,0.005553619,17.062595,0.005800383,1.0,21.83031272888184,0.18458475,0.13581571,0.09850488,0.07469327,0.05295846,16.551685333251953,0.005553619004786,0.171126,0.000165679,-19.908947,-22.420078,-23.187601,-23.566336,-23.823706,0.6060325,0.03352323,0.025238808,0.022130482,0.036783803,12.26445,1.2023030000000006,1,0,1,0
143,190.8235015869141,-1.1083900928497314,1.835345,5.4195924,19.078712,17.39685,16.494753,16.079815,15.7691555,0.07235809,0.020023182,0.01503566,0.01547711,0.020006152,17.507849,17.602863,16.412857,0.0037950256,16.63239,0.0038909055,0.9988836,19.80879020690918,0.176979,0.13021946,0.09444602,0.071615554,0.05077632,16.41307830810547,0.0037915653083473,0.0884751,0.000161782,-19.45889,-21.001394,-21.731762,-22.06328,-22.333447,0.07507486,0.022381438,0.018057443,0.018426642,0.02236626,3.0348246,0.9020970000000013,1,0,1,0
